id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
88bdd29b-0c6e-5439-9a8a-0e9cad207060	20030131	0	900000000000207008	900000000000508004	692574018	900000000000548007
88c04360-14c9-528b-9803-20eeac4ca3ed	20020131	1	900000000000207008	900000000000509007	731408019	900000000000548007
88c2a386-591e-5a24-a7b2-2e63d6da0f28	20020131	1	900000000000207008	900000000000509007	636554012	900000000000548007
88d582e6-b4c8-5747-b5a3-55aa9c67d345	20030131	1	900000000000207008	900000000000508004	1461891019	900000000000548007
88eab707-f5ca-5ad2-bcc2-f2a4a444fa74	20020131	1	900000000000207008	900000000000508004	672089010	900000000000548007
88ed34b7-9f49-5854-9e5f-3631c53f187a	20150131	1	900000000000207008	900000000000508004	3012793010	900000000000548007
88f9b755-bbac-5773-844c-8a202fbdb869	20040731	0	900000000000207008	900000000000509007	1470660018	900000000000548007
89024be9-b434-5b5d-8e03-cd7eb2a0b5ac	20020131	1	900000000000207008	900000000000508004	762938010	900000000000548007
894ac0c0-3857-52bc-85b5-8dea311ec53b	20140131	1	900000000000207008	900000000000509007	2985165010	900000000000548007
896d7d81-e00e-5ea2-8860-ada8232072af	20020131	1	900000000000207008	900000000000508004	633708010	900000000000548007
89accf88-4ed7-59d3-a1fa-3556924e12ee	20020131	1	900000000000207008	900000000000508004	714491010	900000000000548007
89b46c54-8655-59e6-8a41-09d52e41dc03	20020131	1	900000000000207008	900000000000508004	655464018	900000000000548007
89cf2819-7559-56ce-8b98-e99e1e419490	20030131	1	900000000000207008	900000000000508004	1456269018	900000000000548007
89d952a1-e6fc-5602-a7dc-eed34471f1de	20020131	1	900000000000207008	900000000000509007	794711018	900000000000548007
89eb67c0-a90e-5b0e-8f4a-5dc8ebb2afbf	20020131	1	900000000000207008	900000000000509007	732418014	900000000000548007
8a200b88-c019-5acc-bac4-70715276d176	20090131	1	900000000000207008	900000000000509007	2788216011	900000000000548007
8a20a5b9-376c-5567-bb7e-7071cf67618f	20070131	1	900000000000207008	900000000000508004	2643092018	900000000000548007
8a3c8f1f-ffc3-51e7-903d-10477ebb0d2d	20020131	1	900000000000207008	900000000000508004	680946014	900000000000548007
8a42c6c8-c0b5-4517-b151-a5eacd4708f5	20170731	1	900000000000207008	900000000000509007	3451173014	900000000000548007
8a5b0ca1-c71a-54a3-8a03-14a128123e21	20020131	1	900000000000207008	900000000000508004	762926018	900000000000548007
8a8066b6-1a20-581c-9af4-f6906a86f0ca	20060731	1	900000000000207008	900000000000508004	2609580016	900000000000548007
8ac71fd3-344a-5012-a828-890921755794	20090131	1	900000000000207008	900000000000508004	2787043013	900000000000548007
8adc503f-4856-5540-a81e-118060480d83	20030131	0	900000000000207008	900000000000508004	766540014	900000000000548007
8b13743d-5ddb-548b-9292-ab9942a6d616	20020131	1	900000000000207008	900000000000509007	700268013	900000000000548007
8b5ace59-dd90-5cf6-9041-8e8aa138de47	20070131	1	900000000000207008	900000000000508004	2638628014	900000000000548007
8b5fe922-39e2-5a6b-ac74-06df71941897	20020131	1	900000000000207008	900000000000508004	784886010	900000000000548007
8b6c37a6-85f5-4ef3-92e6-f7bf61bc8404	20170731	1	900000000000012004	900000000000509007	3498411011	900000000000548007
8b8053bf-22b9-5fb3-a52a-121e2e78ecd1	20020131	1	900000000000207008	900000000000508004	837542017	900000000000548007
